"","track.name","track.album.release_date","track.popularity","track.album.album_type","track.duration_ms","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"1","Rich Flex","2022-11-04",95,"album",239359,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15
"2","Anti-Hero","2022-10-21",97,"album",200690,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008
"3","Bad Habit","2022-07-15",88,"album",232066,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,0.402,0.7,168.946
"4","Unholy (feat. Kim Petras)","2022-09-22",100,"single",156943,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121
"5","Just Wanna Rock","2022-10-17",88,"single",123890,0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187
"6","Lavender Haze","2022-10-21",91,"album",202395,0.733,0.436,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985
"7","Midnight Rain","2022-10-21",91,"album",174782,0.643,0.363,-11.738,0.0767,0.69,5.17e-05,0.115,0.23,139.865
"8","Rockin' Around The Christmas Tree","1964-10-19",85,"album",126266,0.589,0.472,-8.749,0.0502,0.614,0,0.505,0.898,67.196
"9","Maroon","2022-10-21",89,"album",218270,0.637,0.398,-8.294,0.0564,0.0573,1.03e-06,0.101,0.0374,108.075
"10","Romantic Homicide","2022-07-20",93,"single",132630,0.571,0.544,-10.613,0.0299,0.453,0.00805,0.322,0.216,132.052
"11","Karma","2022-10-21",89,"album",204852,0.642,0.62,-7.091,0.0666,0.0734,0,0.483,0.0969,90.02
"12","All I Want for Christmas Is You","1994-10-28",88,"album",241106,0.336,0.627,-7.463,0.0384,0.164,0,0.0708,0.35,150.273
"13","golden hour","2022-09-23",88,"album",209259,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467
"14","You're On Your Own, Kid","2022-10-21",89,"album",194206,0.696,0.396,-10.289,0.0656,0.401,5.2e-06,0.125,0.38,120.041
"15","Something in the Orange","2022-04-22",88,"single",228013,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212
"16","Bejeweled","2022-10-21",88,"album",194165,0.696,0.559,-9.19,0.0693,0.0618,5.58e-05,0.0887,0.433,163.999
"17","As It Was","2022-05-20",91,"album",167303,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
"18","Pussy & Millions (feat. Travis Scott)","2022-11-04",90,"album",242026,0.749,0.63,-6.652,0.116,0.0623,0,0.353,0.445,122.03
"19","Die For You","2016-11-24",87,"album",260253,0.586,0.525,-7.163,0.0615,0.111,0,0.134,0.508,133.629
"20","Snow On The Beach (feat. Lana Del Rey)","2022-10-21",90,"album",256124,0.663,0.319,-13.481,0.0375,0.69,0.000993,0.117,0.193,109.957
"21","Major Distribution","2022-11-04",90,"album",170501,0.908,0.546,-10.491,0.323,0.0127,0,0.0707,0.225,131.016
"22","Jingle Bell Rock","1957-12-02",84,"single",130973,0.754,0.424,-8.463,0.0363,0.643,0,0.0652,0.806,119.705
"23","Jimmy Cooks (feat. 21 Savage)","2022-06-17",90,"album",218364,0.529,0.673,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921
"24","Made You Look","2022-10-21",91,"album",134256,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,0.0771,0.884,144.981
"25","Tití Me Preguntó","2022-05-06",95,"album",243716,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672
"26","Vigilante Shit","2022-10-21",88,"album",164801,0.798,0.277,-11.096,0.39,0.173,5.25e-05,0.121,0.163,79.846
"27","On BS","2022-11-04",89,"album",261543,0.841,0.358,-8.368,0.591,0.0201,0,0.39,0.329,158.014
"28","You Proof","2022-05-13",84,"single",157477,0.731,0.85,-4.913,0.0336,0.252,0,0.605,0.644,119.706
"29","Question...?","2022-10-21",87,"album",210556,0.751,0.502,-8.763,0.167,0.2,0,0.296,0.106,108.943
"30","I'm Good (Blue)","2022-08-26",97,"single",175238,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
"31","Shirt","2022-10-28",89,"single",181830,0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.959
"32","Me Porto Bonito","2022-05-06",95,"album",178567,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005
"33","Sweater Weather","2013-04-19",92,"album",240400,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
"34","Mastermind","2022-10-21",85,"album",191039,0.662,0.357,-14.064,0.154,0.553,0.00129,0.0837,0.124,125.966
"35","Spin Bout U","2022-11-04",88,"album",214588,0.773,0.701,-6.386,0.0512,0.01,0,0.163,0.203,129.963
"36","It's the Most Wonderful Time of the Year","1963",71,"album",151000,0.234,0.526,-11.656,0.0411,0.871,2.34e-06,0.122,0.649,201.739
"37","I Ain't Worried","2022-05-13",95,"single",148485,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994
"38","No Role Modelz","2014-12-09",87,"album",292799,0.69,0.521,-8.492,0.339,0.324,0,0.0534,0.494,100.028
"39","Circo Loco","2022-11-04",88,"album",236795,0.734,0.605,-8.476,0.0699,0.0102,0,0.317,0.252,103.976
"40","It's Beginning to Look a Lot like Christmas","2011-10-14",74,"album",206639,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,94.775
"41","Last Christmas","1984-11-29",84,"single",262960,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682
"42","Die For You","2022-11-04",89,"album",211666,0.472,0.518,-7.379,0.051,0.383,0.127,0.289,0.154,147.805
"43","Dark Red","2017-02-20",87,"single",173104,0.603,0.784,-4.023,0.062,0.446,8.32e-06,0.119,0.769,172.041
"44","Under The Influence","2019-10-04",95,"album",184613,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992
"45","Until I Found You","2022-08-19",83,"album",176666,0.346,0.5,-6.097,0.0388,0.757,0,0.189,0.191,202.466
"46","A Holly Jolly Christmas","1965-10-01",78,"album",135533,0.683,0.375,-13.056,0.0303,0.579,0,0.076,0.888,140.467
"47","Labyrinth","2022-10-21",85,"album",247962,0.406,0.306,-15.48,0.0517,0.785,0.488,0.122,0.122,110.014
"48","The Kind of Love We Make","2022-06-24",78,"album",224426,0.608,0.745,-4.13,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025
"49","WAIT FOR U (feat. Drake & Tems)","2022-04-29",88,"album",189893,0.463,0.642,-4.474,0.34,0.314,0,0.0686,0.339,83.389
"50","Sweet Nothing","2022-10-21",85,"album",188496,0.337,0.156,-14.919,0.0518,0.964,7.72e-05,0.115,0.39,176.655
